NAME,DISTRICT,BOROUGH,POLITICAL PARTY
Maria del Carmen Arroyo,17,Bronx,Democrat
Charles Barron,42,Brooklyn,Democrat
Gale A. Brewer,6,Manhattan,Democrat
Fernando Cabrera,14,Bronx,Democrat
Margaret Chin,1,Manhattan,Democrat
"Leroy G. Comrie, Jr.",27,Queens,Democrat
Elizabeth Crowley,30,Queens,Democrat
Inez E. Dickens,9,Manhattan,Democrat
Erik Martin Dilan,37,Brooklyn,Democrat
Daniel Dromm,25,Queens,Democrat
Mathieu Eugene,40,Brooklyn,Democrat
Julissa Ferreras,21,Queens,Democrat
Lewis A. Fidler,46,Brooklyn,Democrat
Helen D. Foster,16,Bronx,Democrat
Daniel R. Garodnick,4,Manhattan,Democrat
James F. Gennaro,24,Queens,Democrat
Vincent J. Gentile,43,Brooklyn,Democrat
Sara M. Gonzalez,38,Brooklyn,Democrat
David G. Greenfield,44,Brooklyn,Democrat
Daniel J. Halloran,19,Queens,Republican
Vincent Ignizio,51,Staten Island,Republican
Robert Jackson,7,Manhattan,Democrat
Letitia James,35,Brooklyn,Democrat
Peter Koo,20,Queens,Democrat
G. Oliver Koppell,11,Bronx,Democrat
Karen Koslowitz,29,Queens,Democrat
Brad Lander,39,Brooklyn,Democrat
Jessica S. Lappin,5,Manhattan,Democrat
Stephen Levin,33,Brooklyn,Democrat
Melissa Mark-Viverito,8,Manhattan,Democrat
Darlene Mealy,41,Brooklyn,Democrat
Rosie Mendez,2,Manhattan,Democrat
Michael C. Nelson,48,Brooklyn,Democrat
James S. Oddo,50,Staten Island,Republican
Annabel Palma,18,Bronx,Democrat
Christine C. Quinn,3,Manhattan,Democrat
"Domenic M. Recchia, Jr.",47,Brooklyn,Democrat
Diana Reyna,34,Brooklyn,Democrat
Joel Rivera,15,Bronx,Democrat
Ydanis Rodriguez,10,Manhattan,Democrat
Deborah Rose,49,Staten Island,Democrat
Donavan Richards,31,Queens,Democrat
Andy King,12,Bronx,Democrat
Eric Ulrich,32,Queens,Republican
James Vacca,13,Bronx,Democrat
"Peter F. Vallone, Jr.",22,Queens,Democrat
Jimmy Van Bramer,26,Queens,Democrat
Albert Vann,36,Brooklyn,Democrat
Mark Weprin,23,Queens,Democrat
Jumaane D. Williams,45,Brooklyn,Democrat
Ruben Wills,28,Queens,Democrat
